og_s1,og_s2,new_s1,new_s2,og_label,new_label,remarks
"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.","Sheena Young, a spokesman for Child, the national infertility support network, said the proposed guidelines should lead to a more ""fair and equitable"" service for infertility sufferers.","Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.","Sheena Young, a spokesman for Child, the national infertility support network, said the proposed guidelines should lead to a more ""fair and equitable"" service for infertility sufferers.",1,1,no need to correct
"""I think you'll see a lot of job growth in the next two years,"" he said, adding the growth could replace jobs lost.","""I think you'll see a lot of job growth in the next two years,"" said Mankiw.","""I think you'll see a lot of job growth in the next two years,"" he said, adding the growth could replace jobs lost.","""I think you'll see a lot of job growth in the next two years,"" said Mankiw.",0,0,no need to correct
"The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location, providing one-click access.","Panther's redesigned Finder navigation tool puts a user's favourite folders, hard drive, network servers, iDisk and removable media in one location.","The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location, providing one-click access.","Panther's redesigned Finder navigation tool puts a user's favourite folders, hard drive, network servers, iDisk and removable media in one location.",1,0,can't correct
"But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.","Tropical storm warnings were in place Thursday for Jamaica and Haiti and watches for the western Dominican Republic, the southeastern Bahamas and the Turks and Caicos islands.","But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.","Tropical storm warnings were in place Thursday for Jamaica and Haiti and watches for the western Dominican Republic, the southeastern Bahamas and the Turks and Caicos islands.",1,0,can't correct
A federal magistrate in Fort Lauderdale ordered him held without bail.,"Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale, Fla.",A federal magistrate in Fort Lauderdale ordered him held without bail.,"Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale, Fla.",1,0,can't correct
A BMI of 25 or above is considered overweight; 30 or above is considered obese.,"A BMI between 18.5 and 24.9 is considered normal, over 25 is considered overweight and 30 or greater is defined as obese.",A BMI of 25 or above is considered overweight; 30 or above is considered obese.,"A BMI between 18.5 and 24.9 is considered normal, over 25 is considered overweight and 30 or greater is defined as obese.",0,0,no need to correct
"The dollar was at 116.92 yen against the yen , flat on the session, and at 1.2891 against the Swiss franc , also flat.","The dollar was at 116.78 yen JPY= , virtually flat on the session, and at 1.2871 against the Swiss franc CHF= , down 0.1 percent.","The dollar was at 116.92 yen against the yen , flat on the session, and at 1.2891 against the Swiss franc , also flat.","The dollar was at 116.78 yen JPY= , virtually flat on the session, and at 1.2871 against the Swiss franc CHF= , down 0.1 percent.",0,0,no need to correct
"Six months ago, the IMF and Argentina struck a bare-minimum $6.8-billion debt rollover deal that expires in August.","But six months ago, the two sides managed to strike a $6.8-billion debt rollover deal, which expires in August.","Six months ago, the IMF and Argentina struck a bare-minimum $6.8-billion debt rollover deal that expires in August.","But six months ago, the two sides managed to strike a $6.8-billion debt rollover deal, which expires in August.",1,0,can't correct
"Inhibited children tend to be timid with new people, objects, and situations, while uninhibited children spontaneously approach them.","Simply put, shy invividuals tend to be more timid with new people and situations.","Inhibited children tend to be timid with new people, objects, and situations, while uninhibited children spontaneously approach them.","Simply put, shy invividuals tend to be more timid with new people and situations.",1,1,no need to correct
"I wanted to bring the most beautiful people into the most beautiful building, he said Sunday inside the Grand Central concourse.","""I wanted to bring the most beautiful people into the most beautiful building,"" Tunick said Sunday.","I wanted to bring the most beautiful people into the most beautiful building, he said Sunday inside the Grand Central concourse.","""I wanted to bring the most beautiful people into the most beautiful building,"" Tunick said Sunday.",1,0,can't correct
"The broad Standard & Poor's 500 <.SPX> fell 10.75 points, or 1.02 percent, to 1,039.32.","The S&P 500 index was up 1.26, or 0.1 percent, to 1,039.32 after sinking 10.75 yesterday.","The broad Standard & Poor's 500 <.SPX> fell 10.75 points, or 1.02 percent, to 1,039.32.","The S&P 500 index was up 1.26, or 0.1 percent, to 1,039.32 after sinking 10.75 yesterday.",0,0,no need to correct
"Duque will return to Earth Oct. 27 with the station's current crew, U.S. astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko.",Currently living onboard the space station are American astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko.,"Duque will return to Earth Oct. 27 with the station's current crew, U.S. astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko.",Currently living onboard the space station are American astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko.,0,0,no need to correct
"Singapore is already the United States' 12th-largest trading partner, with two-way trade totaling more than $34 billion.","Although a small city-state, Singapore is the 12th-largest trading partner of the United States, with trade volume of $33.4 billion last year.","Singapore is already the United States' 12th-largest trading partner, with two-way trade totaling more than $34 billion.","Although a small city-state, Singapore is the 12th-largest trading partner of the United States, with trade volume of $33.4 billion last year.",1,0,can't correct
The AFL-CIO is waiting until October to decide if it will endorse a candidate.,The AFL-CIO announced Wednesday that it will decide in October whether to endorse a candidate before the primaries.,The AFL-CIO is waiting until October to decide if it will endorse a candidate.,The AFL-CIO announced Wednesday that it will decide in October whether to endorse a candidate before the primaries.,1,0,can't correct
No dates have been set for the civil or the criminal trial.,"No dates have been set for the criminal or civil cases, but Shanley has pleaded not guilty.",No dates have been set for the civil or the criminal trial.,"No dates have been set for the criminal or civil cases, but Shanley has pleaded not guilty.",0,0,no need to correct
"The largest gains were seen in prices, new orders, inventories and exports.","Sub-indexes measuring prices, new orders, inventories and exports increased.","The largest gains were seen in prices, new orders, inventories and exports.","Sub-indexes measuring prices, new orders, inventories and exports increased.",1,1,no need to correct
Trading in Loral was halted yesterday; the shares closed on Monday at $3.01.,"The New York Stock Exchange suspended trading yesterday in Loral, which closed at $3.01 Friday.",Trading in The New York Stock Exchange was halted yesterday; the shares closed on Monday at $3.01.,"The New York Stock Exchange suspended trading yesterday in Loral, which closed at $3.01 Monday.",1,1,corrected
Trading in Loral was halted yesterday; the shares closed on Monday at $3.01.,"The New York Stock Exchange suspended trading yesterday in Loral, which closed at $3.01 Friday.",Trading in Loral was halted yesterday; the shares closed on Monday at $3.01.,"Loral suspended trading yesterday in Loral, which closed at $3.01 Monday.",1,1,corrected
Earnings per share from recurring operations will be 13 cents to 14 cents.,That beat the company's April earnings forecast of 8 to 9 cents a share.,Earnings per share from recurring operations will be 13 cents to 14 cents.,That beat the company's April earnings forecast of 8 to 9 cents a share.,0,0,no need to correct
"He plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel.","After that, he plans to have dinner at Camp Bondsteel with U.S. troops stationed there.","He plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel.","After that, he plans to have dinner at Camp Bondsteel with U.S. troops stationed there.",1,0,can't correct
Retailers J.C. Penney Co. Inc. (JCP) and Walgreen Co. (WAG) kick things off on Monday.,Retailers J.C. Penney Co. Inc. JCP.N and Walgreen Co. WAG.N kick things off on Monday.,Retailers J.C. Penney Co. Inc. (JCP) and Walgreen Co. (WAG) kick things off on Monday.,Retailers J.C. Penney Co. Inc. JCP.N and Walgreen Co. WAG.N kick things off on Monday.,1,0,can't correct
Prosecutors filed a motion informing Lee they intend to seek the death penalty.,He added that prosecutors will seek the death penalty.,Prosecutors filed a motion informing Lee they intend to seek the death penalty.,He added that prosecutors will seek the death penalty.,1,0,can't correct
"Last year the court upheld Cleveland's school voucher program, ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schools.","Last year, the court ruled 5-4 in an Ohio case that government vouchers are constitutional if they provide parents with choices among a range of religious and secular schools.","Last year the court upheld Cleveland's school voucher program, ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schools.","Last year, the court ruled 5-4 in an Cleveland case that government vouchers are constitutional if they provide parents with choices among a range of religious and secular schools.",1,1,corrected
"Last year the court upheld Cleveland's school voucher program, ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schools.","Last year, the court ruled 5-4 in an Ohio case that government vouchers are constitutional if they provide parents with choices among a range of religious and secular schools.","Last year the court upheld Ohio's school voucher program, ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schools.","Last year, the court ruled 5-4 in an Ohio case that government vouchers are constitutional if they provide parents with choices among a range of religious and secular schools.",1,1,corrected
He beat testicular cancer that had spread to his lungs and brain.,"Armstrong, 31, battled testicular cancer that spread to his brain.",He beat testicular cancer that had spread to his lungs and brain.,"Armstrong, 31, battled testicular cancer that spread to his brain.",0,0,no need to correct
"Sorkin, who faces charges of conspiracy to obstruct justice and lying to a grand jury, was to have been tried separately.",Sorkin was to have been tried separately on charges of conspiracy and lying to a grand jury.,"Sorkin, who faces charges of conspiracy to obstruct justice and lying to a grand jury, was to have been tried separately.",Sorkin was to have been tried separately on charges of conspiracy and lying to a grand jury.,1,1,no need to correct
"Graves reported from Albuquerque, Villafranca from Austin and Ratcliffe from Laredo.",Pete Slover reported from Laredo and Gromer Jeffers from Albuquerque.,"Graves reported from Albuquerque, Villafranca from Austin and Ratcliffe from Laredo.",Pete Slover reported from Laredo and Gromer Jeffers from Albuquerque.,0,0,no need to correct
"The US chip market is expected to decline 2.1 percent this year, then grow 15.7 percent in 2004.","The Americas market will decline 2.1 percent to $30.6 billion in 2003, and then grow 15.7 percent to $35.4 billion in 2004.","The US chip market is expected to decline 2.1 percent this year, then grow 15.7 percent in 2004.","The Americas market will decline 2.1 percent to $30.6 billion in 2003, and then grow 15.7 percent to $35.4 billion in 2004.",1,0,can't correct
"The group will be headed by State Department official John S. Wolf, who has served in Australia, Vietnam, Greece and Pakistan.","The group will be headed by John S. Wolf, an assistant secretary of state who has served in Australia, Vietnam, Greece and Pakistan.","The group will be headed by State Department official John S. Wolf, who has served in Australia, Vietnam, Greece and Pakistan.","The group will be headed by John S. Wolf, an assistant secretary of state who has served in Australia, Vietnam, Greece and Pakistan.",1,0,can't correct
"The commission must work out the plan's details, but the average residential customer paying $840 a year would get a savings of about $30 annually.",An average residential customer paying $840 a year for electricity could see a savings of $30 annually.,"The commission must work out the plan's details, but the average residential customer paying $840 a year would get a savings of about $30 annually.",An average residential customer paying $840 a year for electricity could see a savings of $30 annually.,0,0,no need to correct
The company has said it plans to restate its earnings for 2000 through 2002.,"The company had announced in January that it would have to restate earnings for 2002, 2001 and perhaps 2000.",The company has said it plans to restate its earnings for 2000 through 2002.,"The company had announced in January that it would have to restate earnings for 2002, 2001 and perhaps 2000.",1,0,can't correct
Results from No. 2 U.S. soft drink maker PepsiCo Inc. PEP.N were likely to be in the spotlight.,Results from No. 2 U.S. soft drink maker PepsiCo Inc. (nyse: PEP - news - people) were likely to be in the spotlight.,Results from No. 2 U.S. soft drink maker PepsiCo Inc. PEP.N were likely to be in the spotlight.,Results from No. 2 U.S. soft drink maker PepsiCo Inc. (nyse: PEP - news - people) were likely to be in the spotlight.,1,0,can't correct
"""The result is an overall package that will provide significant economic growth for our employees over the next four years.""","""The result is an overall package that will provide a significant economic growth for our employees over the next few years,"" he said.","""The result is an overall package that will provide significant economic growth for our employees over the next four years.""","""The result is an overall package that will provide a significant economic growth for our employees over the next four years,"" he said.",1,1,corrected
"""The result is an overall package that will provide significant economic growth for our employees over the next four years.""","""The result is an overall package that will provide a significant economic growth for our employees over the next few years,"" he said.","""The result is an overall package that will provide significant economic growth for our employees over the next few years.""","""The result is an overall package that will provide a significant economic growth for our employees over the next few years,"" he said.",1,1,corrected
Wal-Mart said it would check all of its million-plus domestic workers to ensure they were legally employed.,It has also said it would review all of its domestic employees more than 1 million to ensure they have legal status.,Wal-Mart said it would check all of its million-plus domestic workers to ensure they were legally employed.,It has also said it would review all of its domestic employees more than 1 million to ensure they have legal status.,1,0,can't correct
"The songs are on offer for 99 cents each, or $9.99 for an album.",The company will offer songs for 99 cents and albums for $9.95.,"The songs are on offer for 99 cents each, or $9.99 for an album.",The company will offer songs for 99 cents and albums for $9.99.,1,1,corrected
"The songs are on offer for 99 cents each, or $9.99 for an album.",The company will offer songs for 99 cents and albums for $9.95.,"The songs are on offer for 99 cents each, or $9.95 for an album.",The company will offer songs for 99 cents and albums for $9.95.,1,1,corrected
"However, the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.","The talk, however,has been downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow-accretive.","However, the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.","The talk, however,has been downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow-accretive.",1,1,no need to correct
Comcast Class A shares were up 8 cents at $30.50 in morning trading on the Nasdaq Stock Market.,The stock rose 48 cents to $30 yesterday in Nasdaq Stock Market trading.,Comcast Class A shares were up 8 cents at $30.50 in morning trading on the Nasdaq Stock Market.,The stock rose 48 cents to $30 yesterday in Nasdaq Stock Market trading.,1,0,can't correct
"While dioxin levels in the environment were up last year, they have dropped by 75 percent since the 1970s, said Caswell.",The Institute said dioxin levels in the environment have fallen by as much as 76 percent since the 1970s.,"While dioxin levels in the environment were up last year, they have dropped by 75 percent since the 1970s, said Caswell.",The Institute said dioxin levels in the environment have fallen by as much as 76 percent since the 1970s.,0,0,no need to correct
"This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java, Visual C# and Visual Basic .NET.","IBM said the Rational products were also integrated with Rational PurifyPlus, which allows developers to work in Java, Visual C# and VisualBasic .Net.","This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java, Visual C# and Visual Basic .NET.","IBM said the Rational products were also integrated with Rational PurifyPlus, which allows developers to work in Java, Visual C# and VisualBasic .Net.",1,0,can't correct
The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president’s appearance.,"The plant plans to shut down its first shift and parts of the second shift Monday to accommodate the president's appearance, Crosby said.",The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president’s appearance.,"The plant plans to shut down its first shift and parts of the second shift Monday to accommodate the president's appearance, Crosby said.",1,0,can't correct
"A former teammate, Carlton Dotson, has been charged with the murder.","His body was found July 25, and former teammate Carlton Dotson has been charged in his shooting death.","A former teammate, Carlton Dotson, has been charged with the murder.","His body was found July 25, and former teammate Carlton Dotson has been charged in his shooting death.",0,0,no need to correct
Several of the questions asked by the audience in the fast-paced forum were new to the candidates.,Several of the audience questions were new to the candidates as well.,Several of the questions asked by the audience in the fast-paced forum were new to the candidates.,Several of the audience questions were new to the candidates as well.,1,1,no need to correct
"Meanwhile, the global death toll approached 770 with more than 8,300 people sickened since the severe acute respiratory syndrome virus first appeared in southern China in November.","The global death toll from SARS was at least 767, with more than 8,300 people sickened since the virus first appeared in southern China in November.","Meanwhile, the global death toll approached at least 767 with more than 8,300 people sickened since the severe acute respiratory syndrome virus first appeared in southern China in November.","The global death toll from SARS was at least 767, with more than 8,300 people sickened since the virus first appeared in southern China in November.",1,1,corrected
"Meanwhile, the global death toll approached 770 with more than 8,300 people sickened since the severe acute respiratory syndrome virus first appeared in southern China in November.","The global death toll from SARS was at least 767, with more than 8,300 people sickened since the virus first appeared in southern China in November.","Meanwhile, the global death toll approached 770 with more than 8,300 people sickened since the severe acute respiratory syndrome virus first appeared in southern China in November.","The global death toll from SARS was 770, with more than 8,300 people sickened since the virus first appeared in southern China in November.",1,1,corrected
The battles marked day four of a U.S. sweep to hunt down supporters of Saddam Hussein's fallen regime.,"Twenty-seven Iraqis were killed, pushing the number of opposition deaths to about 100 in a U.S. operation to hunt down supporters of Saddam Hussein's fallen regime.",The battles marked day four of a U.S. sweep to hunt down supporters of Saddam Hussein's fallen regime.,"Twenty-seven Iraqis were killed, pushing the number of opposition deaths to about 100 in a U.S. operation to hunt down supporters of Saddam Hussein's fallen regime.",0,0,no need to correct
"The women then had follow-up examinations after five, 12 and 24 years.","The women had follow-up examinations in 1974-75, 1980-81 and 1992-93, but were not asked about stress again.","The women then had follow-up examinations after five, 12 and 24 years.","The women had follow-up examinations in 1974-75, 1980-81 and 1992-93, but were not asked about stress again.",0,0,no need to correct
The Embraer jets are scheduled to be delivered by September 2006.,The Bombardier and Embraer aircraft will be delivered to U.S. Airways by September 2006.,The Embraer jets are scheduled to be delivered by September 2006.,The Bombardier and Embraer aircraft will be delivered to U.S. Airways by September 2006.,0,0,no need to correct
"Contrary to what PeopleSoft management would have you believe, Oracle intends to fully support PeopleSoft customers and products for many years to come.""","Ellison said that contrary to the contentions of PeopleSoft management, Oracle intends to ""fully support PeopleSoft customers and products"" for many years to come.","Contrary to what PeopleSoft management would have you believe, Oracle intends to fully support PeopleSoft customers and products for many years to come.""","Ellison said that contrary to the contentions of PeopleSoft management, Oracle intends to ""fully support PeopleSoft customers and products"" for many years to come.",1,0,can't correct
"Application Intelligence will be included as part of the company's SmartDefense application, which is included with Firewall-1.","The new application intelligence features will be available June 3 and are included with the SmartDefense product, which comes with FireWall-1.","Application Intelligence will be included as part of the company's SmartDefense application, which is included with Firewall-1.","The new application intelligence features will be available June 3 and are included with the SmartDefense product, which comes with FireWall-1.",0,0,no need to correct
"American Masters: Arthur Miller, Elia Kazan and the Blacklist: None Without Sin (Wed.","Note the subheading of this terrible parable in the ""American Masters"" series, ""Arthur Miller, Elia Kazan and the Blacklist: None Without Sin.""","American Masters: Arthur Miller, Elia Kazan and the Blacklist: None Without Sin (Wed.","Note the subheading of this terrible parable in the ""American Masters"" series, ""Arthur Miller, Elia Kazan and the Blacklist: None Without Sin.""",0,0,no need to correct
"The downtime, to take place in May and June, is expected to cut production by 60 million to 70 million board feet.",The downtime is expected to take 60 million to 70 million board feet out of the companys system.,"The downtime, to take place in May and June, is expected to cut production by 60 million to 70 million board feet.",The downtime is expected to take 60 million to 70 million board feet out of the companys system.,1,0,can't correct
"On July 3, Troy is expected to be sentenced to life in prison without parole.",Troy faces life in prison without parole at his July 30 sentencing.,"On July 30, Troy is expected to be sentenced to life in prison without parole.",Troy faces life in prison without parole at his July 30 sentencing.,1,1,corrected
"On July 3, Troy is expected to be sentenced to life in prison without parole.",Troy faces life in prison without parole at his July 30 sentencing.,"On July 3, Troy is expected to be sentenced to life in prison without parole.",Troy faces life in prison without parole at his July 3 sentencing.,1,1,corrected
"The University of Michigan released a new undergraduate admission process Thursday, dropping a point system the U.S. Supreme Court found unconstitutional in June.",The University of Michigan released today a new admissions policy after the U.S. Supreme Court struck down in June the way it previously admitted undergraduates.,"The University of Michigan released a new undergraduate admission process Thursday, dropping a point system the U.S. Supreme Court found unconstitutional in June.",The University of Michigan released Thursday a new admissions policy after the U.S. Supreme Court struck down in June the way it previously admitted undergraduates.,1,1,corrected
"The University of Michigan released a new undergraduate admission process Thursday, dropping a point system the U.S. Supreme Court found unconstitutional in June.",The University of Michigan released today a new admissions policy after the U.S. Supreme Court struck down in June the way it previously admitted undergraduates.,"The University of Michigan released a new undergraduate admission process today, dropping a point system the U.S. Supreme Court found unconstitutional in June.",The University of Michigan released today a new admissions policy after the U.S. Supreme Court struck down in June the way it previously admitted undergraduates.,1,1,corrected
The processors were announced in San Jose at the Intel Developer Forum.,"The new processor was unveiled at the Intel Developer Forum 2003 in San Jose, Calif.",The processors were announced in San Jose at the Intel Developer Forum.,"The new processor was unveiled at the Intel Developer Forum 2003 in San Jose, Calif.",1,0,can't correct
"The Justice Department filed suit Thursday against the state of Mississippi for failing to end what federal officials call ""disturbing"" abuse of juveniles and ""unconscionable"" conditions at two state-run facilities.","The Justice Department filed a civil rights lawsuit Thursday against the state of Mississippi, alleging abuse of juvenile offenders at two state-run facilities.","The Justice Department filed suit Thursday against the state of Mississippi for failing to end what federal officials call ""disturbing"" abuse of juveniles and ""unconscionable"" conditions at two state-run facilities.","The Justice Department filed a civil rights lawsuit Thursday against the state of Mississippi, alleging abuse of juvenile offenders at two state-run facilities.",0,0,no need to correct
It said the damage to the wing provided a pathway for hot gasses to penetrate the ship's thermal armor during Columbia's ill-fated reentry.,The document says the damage to the wing provided a pathway for hot gases to penetrate Columbia's thermal armour during its fatal re-entry.,It said the damage to the wing provided a pathway for hot gasses to penetrate the ship's thermal armor during Columbia's ill-fated reentry.,The document says the damage to the wing provided a pathway for hot gases to penetrate Columbia's thermal armour during its fatal re-entry.,1,1,no need to correct
"Also demonstrating box-office strength _ and getting seven Tony nominations _ was a potent revival of Eugene O'Neill's family drama, ""Long Day's Journey Into Night.""","Also demonstrating box-office strength -- and getting seven Tony nominations -- was a potent revival of Eugene ONeills family drama, Long Days Journey Into Night.""","Also demonstrating box-office strength _ and getting seven Tony nominations _ was a potent revival of Eugene O'Neill's family drama, ""Long Days Journey Into Night""","Also demonstrating box-office strength -- and getting seven Tony nominations -- was a potent revival of Eugene O'Neill's family drama, Long Days Journey Into Night.""",1,1,corrected
